{'station_id': 'StationA', 'date': '2000-01-25', 'degrees': 17.253793607749706, 'partition': 3}
{'station_id': 'StationI', 'date': '2000-01-29', 'degrees': 5.0, 'partition': 3}
{'station_id': 'StationJ', 'date': '2000-01-29', 'degrees': 8.0, 'partition': 1}
{'station_id': 'StationA', 'date': '2000-01-30', 'degrees': 21.14617782751519, 'partition': 3}
{'station_id': 'StationC', 'date': '2000-01-30', 'degrees': 29.105741039400183, 'partition': 2}
{'station_id': 'StationB', 'date': '2000-01-30', 'degrees': 4.078735554017495, 'partition': 0}
{'station_id': 'StationD', 'date': '2000-01-30', 'degrees': 35.32299874476952, 'partition': 0}
{'station_id': 'StationE', 'date': '2000-01-30', 'degrees': 23.86038624205008, 'partition': 2}
{'station_id': 'StationF', 'date': '2000-01-30', 'degrees': 21.985387324766812, 'partition': 0}
{'station_id': 'StationG', 'date': '2000-01-30', 'degrees': 27.423124592075375, 'partition': 3}
{'station_id': 'StationH', 'date': '2000-01-30', 'degrees': 44.60453806756486, 'partition': 3}
{'station_id': 'StationI', 'date': '2000-01-30', 'degrees': 5.0, 'partition': 3}
{'station_id': 'StationJ', 'date': '2000-01-30', 'degrees': 9.0, 'partition': 1}
{'station_id': 'StationA', 'date': '2000-01-31', 'degrees': 15.393910395331492, 'partition': 3}
{'station_id': 'StationB', 'date': '2000-01-31', 'degrees': 36.35206075142523, 'partition': 0}
{'station_id': 'StationC', 'date': '2000-01-31', 'degrees': 6.489852184583835, 'partition': 2}
{'station_id': 'StationD', 'date': '2000-01-31', 'degrees': 56.375302293412005, 'partition': 0}
{'station_id': 'StationE', 'date': '2000-01-31', 'degrees': 30.4829373382997, 'partition': 2}
{'station_id': 'StationF', 'date': '2000-01-31', 'degrees': 52.22386721535692, 'partition': 0}
{'station_id': 'StationG', 'date': '2000-01-31', 'degrees': 21.058284139926485, 'partition': 3}
{'station_id': 'StationH', 'date': '2000-01-31', 'degrees': 8.900320073176218, 'partition': 3}
{'station_id': 'StationI', 'date': '2000-01-31', 'degrees': 5.0, 'partition': 3}
{'station_id': 'StationJ', 'date': '2000-01-31', 'degrees': 0.0, 'partition': 1}
{'station_id': 'StationA', 'date': '2000-02-01', 'degrees': 31.310695661261896, 'partition': 3}
{'station_id': 'StationB', 'date': '2000-02-01', 'degrees': 39.46915272103967, 'partition': 0}
{'station_id': 'StationC', 'date': '2000-02-01', 'degrees': 61.59246295843059, 'partition': 2}
{'station_id': 'StationD', 'date': '2000-02-01', 'degrees': 39.841524555841175, 'partition': 0}
{'station_id': 'StationE', 'date': '2000-02-01', 'degrees': 4.868047541745664, 'partition': 2}
{'station_id': 'StationF', 'date': '2000-02-01', 'degrees': -2.861834729693477, 'partition': 0}
{'station_id': 'StationG', 'date': '2000-02-01', 'degrees': 26.21764232613888, 'partition': 3}
{'station_id': 'StationH', 'date': '2000-02-01', 'degrees': 37.822495460837445, 'partition': 3}
{'station_id': 'StationI', 'date': '2000-02-01', 'degrees': 5.0, 'partition': 3}
{'station_id': 'StationJ', 'date': '2000-02-01', 'degrees': 1.0, 'partition': 1}
{'station_id': 'StationA', 'date': '2000-02-02', 'degrees': 65.83474291408116, 'partition': 3}
{'station_id': 'StationB', 'date': '2000-02-02', 'degrees': 29.45143717772301, 'partition': 0}
{'station_id': 'StationC', 'date': '2000-02-02', 'degrees': 9.803927009933055, 'partition': 2}
{'station_id': 'StationD', 'date': '2000-02-02', 'degrees': 30.137516929668227, 'partition': 0}
{'station_id': 'StationE', 'date': '2000-02-02', 'degrees': 33.95418049385206, 'partition': 2}
{'station_id': 'StationF', 'date': '2000-02-02', 'degrees': 1.1460087602797806, 'partition': 0}
{'station_id': 'StationG', 'date': '2000-02-02', 'degrees': 18.97929833454736, 'partition': 3}
{'station_id': 'StationH', 'date': '2000-02-02', 'degrees': 48.663285136033906, 'partition': 3}
{'station_id': 'StationI', 'date': '2000-02-02', 'degrees': 5.0, 'partition': 3}
{'station_id': 'StationJ', 'date': '2000-02-02', 'degrees': 2.0, 'partition': 1}
{'station_id': 'StationA', 'date': '2000-02-03', 'degrees': 37.4157208708887, 'partition': 3}
{'station_id': 'StationB', 'date': '2000-02-03', 'degrees': 3.536295014996071, 'partition': 0}
{'station_id': 'StationC', 'date': '2000-02-03', 'degrees': 24.185376072427793, 'partition': 2}
{'station_id': 'StationD', 'date': '2000-02-03', 'degrees': 58.28515302359561, 'partition': 0}
{'station_id': 'StationE', 'date': '2000-02-03', 'degrees': 9.694449303906094, 'partition': 2}
{'station_id': 'StationF', 'date': '2000-02-03', 'degrees': 7.362890669239182, 'partition': 0}
{'station_id': 'StationG', 'date': '2000-02-03', 'degrees': 34.99003898052753, 'partition': 3}
{'station_id': 'StationH', 'date': '2000-02-03', 'degrees': 31.98781325893811, 'partition': 3}
{'station_id': 'StationI', 'date': '2000-02-03', 'degrees': 5.0, 'partition': 3}
{'station_id': 'StationJ', 'date': '2000-02-03', 'degrees': 3.0, 'partition': 1}
{'station_id': 'StationA', 'date': '2000-02-04', 'degrees': 14.118062090550849, 'partition': 3}
{'station_id': 'StationB', 'date': '2000-02-04', 'degrees': 34.99625105685663, 'partition': 0}
{'station_id': 'StationC', 'date': '2000-02-04', 'degrees': 3.2743461608921116, 'partition': 2}
{'station_id': 'StationD', 'date': '2000-02-04', 'degrees': 19.14665060021951, 'partition': 0}
{'station_id': 'StationE', 'date': '2000-02-04', 'degrees': 58.26791888873566, 'partition': 2}
{'station_id': 'StationF', 'date': '2000-02-04', 'degrees': 22.859884880632748, 'partition': 0}
{'station_id': 'StationG', 'date': '2000-02-04', 'degrees': 50.32860951686996, 'partition': 3}
{'station_id': 'StationH', 'date': '2000-02-04', 'degrees': 16.63822990432044, 'partition': 3}
{'station_id': 'StationI', 'date': '2000-02-04', 'degrees': 5.0, 'partition': 3}
{'station_id': 'StationJ', 'date': '2000-02-04', 'degrees': 4.0, 'partition': 1}
{'station_id': 'StationA', 'date': '2000-02-05', 'degrees': -6.683376773833658, 'partition': 3}
{'station_id': 'StationB', 'date': '2000-02-05', 'degrees': 51.109482127362185, 'partition': 0}
{'station_id': 'StationC', 'date': '2000-02-05', 'degrees': 31.43006593189211, 'partition': 2}
{'station_id': 'StationD', 'date': '2000-02-05', 'degrees': 64.93142265428857, 'partition': 0}
{'station_id': 'StationE', 'date': '2000-02-05', 'degrees': 40.99072801748949, 'partition': 2}
{'station_id': 'StationF', 'date': '2000-02-05', 'degrees': 19.44203490097494, 'partition': 0}
{'station_id': 'StationG', 'date': '2000-02-05', 'degrees': 31.51613334204833, 'partition': 3}
{'station_id': 'StationH', 'date': '2000-02-05', 'degrees': 24.305404402196064, 'partition': 3}
{'station_id': 'StationI', 'date': '2000-02-05', 'degrees': 5.0, 'partition': 3}
{'station_id': 'StationJ', 'date': '2000-02-05', 'degrees': 5.0, 'partition': 1}
{'station_id': 'StationA', 'date': '2000-02-06', 'degrees': 25.985499932167514, 'partition': 3}
{'station_id': 'StationB', 'date': '2000-02-06', 'degrees': 51.78276909212828, 'partition': 0}
{'station_id': 'StationC', 'date': '2000-02-06', 'degrees': 42.02801105592127, 'partition': 2}
{'station_id': 'StationD', 'date': '2000-02-06', 'degrees': 58.37707713984391, 'partition': 0}
{'station_id': 'StationE', 'date': '2000-02-06', 'degrees': 33.17288835414076, 'partition': 2}
{'station_id': 'StationF', 'date': '2000-02-06', 'degrees': 22.760499445640995, 'partition': 0}
{'station_id': 'StationG', 'date': '2000-02-06', 'degrees': 5.318298875661682, 'partition': 3}
{'station_id': 'StationH', 'date': '2000-02-06', 'degrees': 9.546390571979074, 'partition': 3}
{'station_id': 'StationI', 'date': '2000-02-06', 'degrees': 5.0, 'partition': 3}
{'station_id': 'StationJ', 'date': '2000-02-06', 'degrees': 6.0, 'partition': 1}
{'station_id': 'StationA', 'date': '2000-02-07', 'degrees': 43.76339711034596, 'partition': 3}
{'station_id': 'StationB', 'date': '2000-02-07', 'degrees': 34.90563043367333, 'partition': 0}
{'station_id': 'StationC', 'date': '2000-02-07', 'degrees': 19.377918971817977, 'partition': 2}
{'station_id': 'StationD', 'date': '2000-02-07', 'degrees': 46.06448189159873, 'partition': 0}
{'station_id': 'StationE', 'date': '2000-02-07', 'degrees': 2.9667974000418447, 'partition': 2}
{'station_id': 'StationF', 'date': '2000-02-07', 'degrees': 6.097135729726247, 'partition': 0}
{'station_id': 'StationG', 'date': '2000-02-07', 'degrees': 38.766916242336, 'partition': 3}
{'station_id': 'StationH', 'date': '2000-02-07', 'degrees': 23.20549754966781, 'partition': 3}
{'station_id': 'StationI', 'date': '2000-02-07', 'degrees': 5.0, 'partition': 3}
{'station_id': 'StationJ', 'date': '2000-02-07', 'degrees': 7.0, 'partition': 1}
{'station_id': 'StationA', 'date': '2000-02-08', 'degrees': 48.21279672391783, 'partition': 3}
{'station_id': 'StationB', 'date': '2000-02-08', 'degrees': 24.25125659867762, 'partition': 0}
{'station_id': 'StationC', 'date': '2000-02-08', 'degrees': 35.98249872551873, 'partition': 2}
{'station_id': 'StationD', 'date': '2000-02-08', 'degrees': 44.364620896215314, 'partition': 0}
{'station_id': 'StationE', 'date': '2000-02-08', 'degrees': 35.96727257762236, 'partition': 2}
{'station_id': 'StationF', 'date': '2000-02-08', 'degrees': 17.92159275297611, 'partition': 0}
{'station_id': 'StationG', 'date': '2000-02-08', 'degrees': 16.099527372562356, 'partition': 3}
{'station_id': 'StationH', 'date': '2000-02-08', 'degrees': 48.074808323094196, 'partition': 3}
{'station_id': 'StationI', 'date': '2000-02-08', 'degrees': 5.0, 'partition': 3}
{'station_id': 'StationJ', 'date': '2000-02-08', 'degrees': 8.0, 'partition': 1}
{'station_id': 'StationA', 'date': '2000-02-09', 'degrees': 50.18021450709716, 'partition': 3}
{'station_id': 'StationB', 'date': '2000-02-09', 'degrees': 12.316393241907129, 'partition': 0}
{'station_id': 'StationC', 'date': '2000-02-09', 'degrees': 14.991177391389023, 'partition': 2}
{'station_id': 'StationD', 'date': '2000-02-09', 'degrees': 21.693183234649972, 'partition': 0}
{'station_id': 'StationE', 'date': '2000-02-09', 'degrees': 34.151176427514194, 'partition': 2}
{'station_id': 'StationF', 'date': '2000-02-09', 'degrees': 53.26505199381633, 'partition': 0}
{'station_id': 'StationG', 'date': '2000-02-09', 'degrees': 48.30538767917388, 'partition': 3}
{'station_id': 'StationH', 'date': '2000-02-09', 'degrees': 30.085443604588434, 'partition': 3}
{'station_id': 'StationI', 'date': '2000-02-09', 'degrees': 5.0, 'partition': 3}
{'station_id': 'StationJ', 'date': '2000-02-09', 'degrees': 9.0, 'partition': 1}
{'station_id': 'StationA', 'date': '2000-02-10', 'degrees': 16.02221538906153, 'partition': 3}
{'station_id': 'StationB', 'date': '2000-02-10', 'degrees': 21.484647407910327, 'partition': 0}
{'station_id': 'StationC', 'date': '2000-02-10', 'degrees': 14.666085339349458, 'partition': 2}
{'station_id': 'StationD', 'date': '2000-02-10', 'degrees': 50.34381330514907, 'partition': 0}
{'station_id': 'StationE', 'date': '2000-02-10', 'degrees': 1.3655163151743075, 'partition': 2}
{'station_id': 'StationF', 'date': '2000-02-10', 'degrees': 11.451052977152145, 'partition': 0}
{'station_id': 'StationG', 'date': '2000-02-10', 'degrees': 41.08064074622379, 'partition': 3}
{'station_id': 'StationH', 'date': '2000-02-10', 'degrees': 53.78672723629159, 'partition': 3}
{'station_id': 'StationI', 'date': '2000-02-10', 'degrees': 5.0, 'partition': 3}
{'station_id': 'StationJ', 'date': '2000-02-10', 'degrees': 0.0, 'partition': 1}
{'station_id': 'StationA', 'date': '2000-02-11', 'degrees': 29.587412689263086, 'partition': 3}
{'station_id': 'StationB', 'date': '2000-02-11', 'degrees': 33.74168639283119, 'partition': 0}
{'station_id': 'StationC', 'date': '2000-02-11', 'degrees': 15.046907358795652, 'partition': 2}
{'station_id': 'StationD', 'date': '2000-02-11', 'degrees': 25.01805925438875, 'partition': 0}
{'station_id': 'StationE', 'date': '2000-02-11', 'degrees': 39.063321704711655, 'partition': 2}
{'station_id': 'StationF', 'date': '2000-02-11', 'degrees': 1.7778877500052133, 'partition': 0}
{'station_id': 'StationG', 'date': '2000-02-11', 'degrees': 0.36514282372296236, 'partition': 3}
{'station_id': 'StationH', 'date': '2000-02-11', 'degrees': 48.529153815162815, 'partition': 3}
{'station_id': 'StationI', 'date': '2000-02-11', 'degrees': 5.0, 'partition': 3}
{'station_id': 'StationJ', 'date': '2000-02-11', 'degrees': 1.0, 'partition': 1}
{'station_id': 'StationA', 'date': '2000-02-12', 'degrees': 22.90428102843313, 'partition': 3}
{'station_id': 'StationC', 'date': '2000-02-12', 'degrees': 9.005536070039355, 'partition': 2}
{'station_id': 'StationB', 'date': '2000-02-12', 'degrees': 48.84095074834532, 'partition': 0}
{'station_id': 'StationD', 'date': '2000-02-12', 'degrees': 18.41161177422119, 'partition': 0}
{'station_id': 'StationE', 'date': '2000-02-12', 'degrees': 14.977395435746569, 'partition': 2}
{'station_id': 'StationF', 'date': '2000-02-12', 'degrees': 6.470893491283242, 'partition': 0}
{'station_id': 'StationG', 'date': '2000-02-12', 'degrees': 35.97823847782878, 'partition': 3}
{'station_id': 'StationH', 'date': '2000-02-12', 'degrees': 37.104356066064774, 'partition': 3}
{'station_id': 'StationI', 'date': '2000-02-12', 'degrees': 5.0, 'partition': 3}
{'station_id': 'StationJ', 'date': '2000-02-12', 'degrees': 2.0, 'partition': 1}
{'station_id': 'StationA', 'date': '2000-02-13', 'degrees': 23.958014365219732, 'partition': 3}
{'station_id': 'StationB', 'date': '2000-02-13', 'degrees': 24.877073065588096, 'partition': 0}
{'station_id': 'StationC', 'date': '2000-02-13', 'degrees': 41.07652391908333, 'partition': 2}
{'station_id': 'StationD', 'date': '2000-02-13', 'degrees': 23.23750785477601, 'partition': 0}
{'station_id': 'StationE', 'date': '2000-02-13', 'degrees': 35.788674786273596, 'partition': 2}
{'station_id': 'StationF', 'date': '2000-02-13', 'degrees': 4.280064516171265, 'partition': 0}
{'station_id': 'StationG', 'date': '2000-02-13', 'degrees': 17.682993705226238, 'partition': 3}
{'station_id': 'StationH', 'date': '2000-02-13', 'degrees': 45.622371415235875, 'partition': 3}
{'station_id': 'StationI', 'date': '2000-02-13', 'degrees': 5.0, 'partition': 3}
{'station_id': 'StationJ', 'date': '2000-02-13', 'degrees': 3.0, 'partition': 1}
{'station_id': 'StationA', 'date': '2000-02-14', 'degrees': 22.931983366228305, 'partition': 3}
{'station_id': 'StationB', 'date': '2000-02-14', 'degrees': 31.196584174995007, 'partition': 0}
{'station_id': 'StationC', 'date': '2000-02-14', 'degrees': 41.355682520485146, 'partition': 2}
{'station_id': 'StationD', 'date': '2000-02-14', 'degrees': 46.606238068464705, 'partition': 0}
{'station_id': 'StationE', 'date': '2000-02-14', 'degrees': 34.876987236320794, 'partition': 2}
{'station_id': 'StationF', 'date': '2000-02-14', 'degrees': 0.34720981869573464, 'partition': 0}
{'station_id': 'StationG', 'date': '2000-02-14', 'degrees': 26.59175903683868, 'partition': 3}
{'station_id': 'StationH', 'date': '2000-02-14', 'degrees': 40.42126143323157, 'partition': 3}
{'station_id': 'StationI', 'date': '2000-02-14', 'degrees': 5.0, 'partition': 3}
{'station_id': 'StationJ', 'date': '2000-02-14', 'degrees': 4.0, 'partition': 1}
{'station_id': 'StationA', 'date': '2000-02-15', 'degrees': 48.724306534330296, 'partition': 3}
{'station_id': 'StationB', 'date': '2000-02-15', 'degrees': 31.96681698009144, 'partition': 0}
{'station_id': 'StationC', 'date': '2000-02-15', 'degrees': 36.145406252023136, 'partition': 2}
{'station_id': 'StationD', 'date': '2000-02-15', 'degrees': 8.757202030485502, 'partition': 0}
{'station_id': 'StationE', 'date': '2000-02-15', 'degrees': 51.10264144009254, 'partition': 2}
{'station_id': 'StationF', 'date': '2000-02-15', 'degrees': 29.05369565939092, 'partition': 0}
{'station_id': 'StationG', 'date': '2000-02-15', 'degrees': 41.68582174475863, 'partition': 3}
{'station_id': 'StationH', 'date': '2000-02-15', 'degrees': 14.939330727469533, 'partition': 3}
{'station_id': 'StationI', 'date': '2000-02-15', 'degrees': 5.0, 'partition': 3}
{'station_id': 'StationJ', 'date': '2000-02-15', 'degrees': 5.0, 'partition': 1}
{'station_id': 'StationA', 'date': '2000-02-16', 'degrees': 22.975833473770713, 'partition': 3}
{'station_id': 'StationB', 'date': '2000-02-16', 'degrees': 37.78124626490914, 'partition': 0}
{'station_id': 'StationC', 'date': '2000-02-16', 'degrees': 22.72704803875471, 'partition': 2}
{'station_id': 'StationD', 'date': '2000-02-16', 'degrees': 29.529869625601222, 'partition': 0}
{'station_id': 'StationE', 'date': '2000-02-16', 'degrees': 38.81199819483095, 'partition': 2}
{'station_id': 'StationF', 'date': '2000-02-16', 'degrees': 37.400426135335195, 'partition': 0}
{'station_id': 'StationG', 'date': '2000-02-16', 'degrees': 28.289628073211105, 'partition': 3}
{'station_id': 'StationH', 'date': '2000-02-16', 'degrees': 24.245372505966728, 'partition': 3}
{'station_id': 'StationI', 'date': '2000-02-16', 'degrees': 5.0, 'partition': 3}
{'station_id': 'StationJ', 'date': '2000-02-16', 'degrees': 6.0, 'partition': 1}
{'station_id': 'StationA', 'date': '2000-02-17', 'degrees': 37.124215276225044, 'partition': 3}
{'station_id': 'StationB', 'date': '2000-02-17', 'degrees': 30.347865285254755, 'partition': 0}
{'station_id': 'StationC', 'date': '2000-02-17', 'degrees': 34.821240913028845, 'partition': 2}
{'station_id': 'StationD', 'date': '2000-02-17', 'degrees': 11.960514075594318, 'partition': 0}
{'station_id': 'StationE', 'date': '2000-02-17', 'degrees': 21.039198860303287, 'partition': 2}
{'station_id': 'StationF', 'date': '2000-02-17', 'degrees': 44.52185801940401, 'partition': 0}
{'station_id': 'StationG', 'date': '2000-02-17', 'degrees': 24.25394107386764, 'partition': 3}
{'station_id': 'StationH', 'date': '2000-02-17', 'degrees': 49.36166209537862, 'partition': 3}
{'station_id': 'StationI', 'date': '2000-02-17', 'degrees': 5.0, 'partition': 3}
{'station_id': 'StationJ', 'date': '2000-02-17', 'degrees': 7.0, 'partition': 1}
{'station_id': 'StationA', 'date': '2000-02-18', 'degrees': 26.220765947514344, 'partition': 3}
{'station_id': 'StationB', 'date': '2000-02-18', 'degrees': 28.790556492031076, 'partition': 0}
{'station_id': 'StationC', 'date': '2000-02-18', 'degrees': 27.235851312863154, 'partition': 2}
{'station_id': 'StationD', 'date': '2000-02-18', 'degrees': 27.3026277674803, 'partition': 0}
{'station_id': 'StationE', 'date': '2000-02-18', 'degrees': 7.659154406840624, 'partition': 2}
{'station_id': 'StationF', 'date': '2000-02-18', 'degrees': 56.37489174311166, 'partition': 0}
{'station_id': 'StationG', 'date': '2000-02-18', 'degrees': 9.427705604834138, 'partition': 3}
{'station_id': 'StationH', 'date': '2000-02-18', 'degrees': 26.050781555001237, 'partition': 3}
{'station_id': 'StationI', 'date': '2000-02-18', 'degrees': 5.0, 'partition': 3}
{'station_id': 'StationJ', 'date': '2000-02-18', 'degrees': 8.0, 'partition': 1}
{'station_id': 'StationA', 'date': '2000-02-19', 'degrees': 70.43706356627436, 'partition': 3}
{'station_id': 'StationB', 'date': '2000-02-19', 'degrees': 25.999941523440977, 'partition': 0}
{'station_id': 'StationC', 'date': '2000-02-19', 'degrees': 25.558414191786355, 'partition': 2}
{'station_id': 'StationD', 'date': '2000-02-19', 'degrees': 14.965312114013715, 'partition': 0}
{'station_id': 'StationE', 'date': '2000-02-19', 'degrees': 38.64205800181285, 'partition': 2}
{'station_id': 'StationF', 'date': '2000-02-19', 'degrees': 22.325405298283354, 'partition': 0}
{'station_id': 'StationG', 'date': '2000-02-19', 'degrees': 27.563750624370087, 'partition': 3}
{'station_id': 'StationH', 'date': '2000-02-19', 'degrees': 60.40816112665994, 'partition': 3}
{'station_id': 'StationI', 'date': '2000-02-19', 'degrees': 5.0, 'partition': 3}
{'station_id': 'StationJ', 'date': '2000-02-19', 'degrees': 9.0, 'partition': 1}
{'station_id': 'StationA', 'date': '2000-02-20', 'degrees': 11.810672303576784, 'partition': 3}
{'station_id': 'StationB', 'date': '2000-02-20', 'degrees': 38.93503748148036, 'partition': 0}
{'station_id': 'StationC', 'date': '2000-02-20', 'degrees': 19.72945226057591, 'partition': 2}
{'station_id': 'StationD', 'date': '2000-02-20', 'degrees': 42.12774872143432, 'partition': 0}
{'station_id': 'StationE', 'date': '2000-02-20', 'degrees': 26.99534806390829, 'partition': 2}
{'station_id': 'StationF', 'date': '2000-02-20', 'degrees': 41.21553440380207, 'partition': 0}
{'station_id': 'StationG', 'date': '2000-02-20', 'degrees': -8.70299423012132, 'partition': 3}
{'station_id': 'StationH', 'date': '2000-02-20', 'degrees': 30.579083870379733, 'partition': 3}
{'station_id': 'StationI', 'date': '2000-02-20', 'degrees': 5.0, 'partition': 3}
{'station_id': 'StationJ', 'date': '2000-02-20', 'degrees': 0.0, 'partition': 1}
{'station_id': 'StationA', 'date': '2000-02-21', 'degrees': 10.056690097977615, 'partition': 3}
{'station_id': 'StationB', 'date': '2000-02-21', 'degrees': 33.7620776377574, 'partition': 0}
{'station_id': 'StationC', 'date': '2000-02-21', 'degrees': 17.59770692110648, 'partition': 2}
{'station_id': 'StationD', 'date': '2000-02-21', 'degrees': 33.85130227801282, 'partition': 0}
{'station_id': 'StationE', 'date': '2000-02-21', 'degrees': 35.40689577596081, 'partition': 2}
{'station_id': 'StationF', 'date': '2000-02-21', 'degrees': 24.793420528942974, 'partition': 0}
{'station_id': 'StationG', 'date': '2000-02-21', 'degrees': 10.80769990581718, 'partition': 3}
{'station_id': 'StationH', 'date': '2000-02-21', 'degrees': 16.46276649503792, 'partition': 3}
{'station_id': 'StationI', 'date': '2000-02-21', 'degrees': 5.0, 'partition': 3}
{'station_id': 'StationJ', 'date': '2000-02-21', 'degrees': 1.0, 'partition': 1}
{'station_id': 'StationA', 'date': '2000-02-22', 'degrees': 30.076658781173148, 'partition': 3}
{'station_id': 'StationB', 'date': '2000-02-22', 'degrees': 49.85486976868995, 'partition': 0}
{'station_id': 'StationC', 'date': '2000-02-22', 'degrees': 33.96466731123798, 'partition': 2}
{'station_id': 'StationD', 'date': '2000-02-22', 'degrees': 34.273645390889854, 'partition': 0}
{'station_id': 'StationE', 'date': '2000-02-22', 'degrees': 39.66674562157057, 'partition': 2}
{'station_id': 'StationF', 'date': '2000-02-22', 'degrees': -10.330347735758252, 'partition': 0}
{'station_id': 'StationG', 'date': '2000-02-22', 'degrees': 35.58092418438797, 'partition': 3}
{'station_id': 'StationH', 'date': '2000-02-22', 'degrees': 32.51236008779425, 'partition': 3}
{'station_id': 'StationI', 'date': '2000-02-22', 'degrees': 5.0, 'partition': 3}
{'station_id': 'StationJ', 'date': '2000-02-22', 'degrees': 2.0, 'partition': 1}
{'station_id': 'StationA', 'date': '2000-02-23', 'degrees': 0.37292258763291386, 'partition': 3}
{'station_id': 'StationB', 'date': '2000-02-23', 'degrees': 15.700285373947292, 'partition': 0}
{'station_id': 'StationC', 'date': '2000-02-23', 'degrees': 17.44608025742233, 'partition': 2}
{'station_id': 'StationD', 'date': '2000-02-23', 'degrees': 7.767330018811457, 'partition': 0}
